index_after_baseline	sha	short_sha	subject	history_layer	category	visual_or_ux_risk	recommended_action	backport_bundle	rationale
1	377eef921c2ec9473e3fb6903e58ae0fe1354a61	377eef921	Checkpoint classroom workbench graph transition	pre-v1.1.0	checkpoint or merge	unknown/broad	skip		Not an independently reviewable performance patch.
2	99c48938a7a7ce953f620ab526692e1a34c66dbf	99c48938a	Start mechanism graph compiler safely	pre-v1.1.0	mechanism or fabrication behavior	medium-high	exclude from performance pack		May improve correctness, but changes accepted edits, geometry, readiness, board placement, fabrication, or preview semantics.
3	ab3b4ff761518baab587692adb882c788399d951	ab3b4ff76	Ground compiler migration in derived graph parity	pre-v1.1.0	mechanism or fabrication behavior	medium-high	exclude from performance pack		May improve correctness, but changes accepted edits, geometry, readiness, board placement, fabrication, or preview semantics.
4	015aae6c5286ed788b5e0ed57d630ab3cbd3f87f	015aae6c5	Keep mechanism graph migration derived and testable	pre-v1.1.0	mechanism or fabrication behavior	medium-high	exclude from performance pack		May improve correctness, but changes accepted edits, geometry, readiness, board placement, fabrication, or preview semantics.
5	21f479a26387c5bedaa4f21d322434f5f21ece8f	21f479a26	Keep mechanism edits inside feasible motion	pre-v1.1.0	mechanism or fabrication behavior	medium-high	exclude from performance pack		May improve correctness, but changes accepted edits, geometry, readiness, board placement, fabrication, or preview semantics.
6	aa522552a13a0c83682fab33cd60ad4dd9a25b74	aa522552a	Unify mechanism edit and preview authority	pre-v1.1.0	mechanism or fabrication behavior	medium-high	exclude from performance pack		May improve correctness, but changes accepted edits, geometry, readiness, board placement, fabrication, or preview semantics.
7	9af49e82bd5b9497ae87543b098658e6536cce8c	9af49e82b	Establish compiler facade before graph cutover	pre-v1.1.0	mechanism or fabrication behavior	medium-high	exclude from performance pack		May improve correctness, but changes accepted edits, geometry, readiness, board placement, fabrication, or preview semantics.
8	ff251c9fbecf4ca38264cd3dc8cbfea5cd14f5de	ff251c9fb	Make authored graphs compile buildable recipes	pre-v1.1.0	mechanism or fabrication behavior	medium-high	exclude from performance pack		May improve correctness, but changes accepted edits, geometry, readiness, board placement, fabrication, or preview semantics.
9	f8dd9589d6b8dcb6d7e2f0f191ff035d747cdaa6	f8dd9589d	Keep automata targets on one scene plane	pre-v1.1.0	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
10	6069db912550a68284485a89e73cef2dde995bb2	6069db912	Make graph fabrication the mechanism authority	pre-v1.1.0	mechanism or fabrication behavior	medium-high	exclude from performance pack		May improve correctness, but changes accepted edits, geometry, readiness, board placement, fabrication, or preview semantics.
11	986f67836321320a49b784a085dd6e42c614858b	986f67836	omx(team): auto-checkpoint worker-3 [3]	pre-v1.1.0	checkpoint or merge	unknown/broad	skip		Not an independently reviewable performance patch.
12	903c3ce1e9438b2ec2e6d02b4665623866d91358	903c3ce1e	omx(team): merge worker-3	pre-v1.1.0	checkpoint or merge	unknown/broad	skip		Not an independently reviewable performance patch.
13	501281c8015a655f1dd1cb5adbbaad8da43005a1	501281c80	omx(team): auto-checkpoint worker-3 [3]	pre-v1.1.0	checkpoint or merge	unknown/broad	skip		Not an independently reviewable performance patch.
14	5920ac3a80fa2e1f136d577764eaccba5bf5e096	5920ac3a8	omx(team): auto-checkpoint worker-3 [3]	pre-v1.1.0	checkpoint or merge	unknown/broad	skip		Not an independently reviewable performance patch.
15	ca20814571c8f75a89a59c8f2cfc1ca72f00b7f4	ca2081457	Merge commit '501281c8015a655f1dd1cb5adbbaad8da43005a1'	pre-v1.1.0	checkpoint or merge	unknown/broad	skip		Not an independently reviewable performance patch.
16	9d4504336bbd7d827d57535bb41371ba62f8b5f4	9d4504336	Consolidate legacy docs into archive cold set and compress historical files	pre-v1.1.0	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
17	f570a0f3bd0397acc7095a9134e9c01d399847ec	f570a0f3b	Align docs governance with hot/cold taxonomy and remove obsolete legacy artifacts	pre-v1.1.0	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
18	0b0f345fd64cc9683d5a88e516e87bddbf983e56	0b0f345fd	Archive cold docs and reconcile residual stale doc references	pre-v1.1.0	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
19	8151f4c7d3523e6f4b764944b8db19ff497eb40a	8151f4c7d	docs: remove one-cycle archive analysis artifacts from active index and maps	pre-v1.1.0	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
20	8cf89034d408115fe1394ba92739cac57b0f84a6	8cf89034d	Prune stale cold docs and compress legacy docs for current contract	pre-v1.1.0	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
21	17909aaec99948829a755e9c332f93e942f74809	17909aaec	Remove orphaned proposed research folder from product tree	pre-v1.1.0	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
22	962b4713e6bcdc5ad6786fc1afde21e4e95811e1	962b4713e	Unify fabrication board management on canonical 15x15 board assets	pre-v1.1.0	mechanism or fabrication behavior	medium-high	exclude from performance pack		May improve correctness, but changes accepted edits, geometry, readiness, board placement, fabrication, or preview semantics.
23	953cf9f2a17caa6bf8edc0f8a169ca2681f0c695	953cf9f2a	Canonicalize fabrication board ownership and migrate board generator	pre-v1.1.0	fabrication tooling or repository migration	none at runtime	skip		No performance-critical runtime benefit; may alter generated fabrication assets or repository ownership.
24	fc7df2a1fdd147ec3ff0dcf9ca3cece430e94574	fc7df2a1f	Normalize fabrication board ownership to managed TS generator	pre-v1.1.0	fabrication tooling or repository migration	none at runtime	skip		No performance-critical runtime benefit; may alter generated fabrication assets or repository ownership.
25	eb4ff1c11f3a0663eb822c84e3c99423d48ac6b1	eb4ff1c11	Enforce board canonical parity and prune stale fabrication audit artifacts	pre-v1.1.0	fabrication tooling or repository migration	none at runtime	skip		No performance-critical runtime benefit; may alter generated fabrication assets or repository ownership.
26	f8e4baadad0f9705dd127336315c991fce6950a4	f8e4baada	migrate fabrication pipeline to TS template source parity	pre-v1.1.0	fabrication tooling or repository migration	none at runtime	skip		No performance-critical runtime benefit; may alter generated fabrication assets or repository ownership.
27	7dd0ef620352cd19dcc519f275c4ceb9847ff7f1	7dd0ef620	Prove managed fabrication contours across generators	pre-v1.1.0	fabrication tooling or repository migration	none at runtime	skip		No performance-critical runtime benefit; may alter generated fabrication assets or repository ownership.
28	3660a838167a6f271638b7bb7f4b9305f213c585	3660a8381	Retire the split Python fabrication oracle	pre-v1.1.0	fabrication tooling or repository migration	none at runtime	skip		No performance-critical runtime benefit; may alter generated fabrication assets or repository ownership.
