priority	id	claim	measurement	evidence	confidence	counterevidence_or_limit	owner	exit_gate
P0	playback-domain-fanout	Foundry and Design recompute compiler safety feasibility candidate and kinematics work from phase-driven React renders	Foundry 21 commits trigger 1161 compiles 3700 edit-safety checks and 238762 kinematics preparations; Design 30 commits trigger 1200 5340 and 351240 respectively	artifacts/performance/audit-cpu/raw/runtime-evidence.json	high for executed calls	Headless rAF timestamps are not presented frames and profiler stacks are minified	inspector-foundation;motion-foundation;sol	React animation commits 0 and every listed domain call 0 during steady playback
P0	renderer-context-lifecycle	Stage navigation remounts renderers and leaves detached non-lost contexts	After three loops 21 contexts were tracked with 1 attached 16 non-lost and 15 detached non-lost; loops added 15 contexts	artifacts/performance/audit-gpu/raw/runtime-headful-attempt-3.json	high for browser-observed lifecycle	Not driver VRAM proof and not a Chromebook	renderer-foundation;sol	1 renderer creation and 1 live WebGL context for the editing session; stage switch never remounts canvas
P0	path-over-submission	Path Three has multiple live render effects competing for the same visual frame	880 GL clear proxies over 175 observed rAF timestamps = 5.029	artifacts/performance/audit-gpu/raw/runtime-headful-attempt-3.json	high for calibrated clear proxy	Clear is not a direct renderer.render hook or compositor-presented frame	renderer-foundation;motion-foundation;character-path	at most 1 renderer submission per presented frame
P0	live-svg-duplicate-motion	Path SVG is a live playback and interaction authority and solves the same motion twice	328 motionPreviewForPath calls over 164 observed rAF timestamps exactly 2.0; one call each in PathEditor and SceneSketch	artifacts/performance/audit-cpu/raw/runtime-evidence.json;artifacts/performance/audit-interaction/report.md	high	The SVG path currently preserves exact CTM-based pointer conversion and cannot be removed before orthographic equivalence is tested	motion-foundation;character-path	no live SVG canvas or fallback; one prepared pose source; exact pointer and path bytes preserved
P0	eager-classroom-network	Optional local AI and physics assets load without the required explicit user boundary	CPU boot recorded 1 ONNX request; visible Orca buffer recorded 1 Rapier chunk before an explicit Physics lens existed	artifacts/performance/audit-cpu/raw/runtime-evidence.json;artifacts/performance/orca-baseline/raw/network.json	high for ONNX and medium for Rapier	Orca preview source attribution failed after reload; remeasure all build profiles	classroom-io;renderer-foundation;sol	0 AI requests on boot and 0 Rapier requests before explicit Physics lens
P1	assembly-validation-loop	Assembly playback performs fabrication and readiness work from React animation	77 Assembly renders trigger 77 validateForFabrication 154 readiness 154 prepared-motion samples and 308 compiles over 78 rAF proxies	artifacts/performance/audit-cpu/raw/runtime-evidence.json	high for executed calls	Fixture covers one guided project only	motion-foundation;assembly-stage	0 fabrication readiness compiler and artifact calls during steady playback
P1	diagnostics-and-bounds	Production Three paths traverse Box3 and serialize screen-target diagnostics while playing	Path Three recorded 910 Box3 calls for 65 clear proxies and 221 diagnostic serializations totaling 132978 bytes	artifacts/performance/audit-cpu/raw/runtime-evidence.json	high for executed calls	Foundry Box3 did not execute under the fixture; its callsite is static-only	renderer-foundation;gpu-tier;sol	0 Box3 and 0 diagnostic JSON bytes during steady playback; diagnostics absent from default and study bundles
P1	warm-shader-construction	Stage entry constructs new programs instead of retaining and warming scene resources	Three-stage entries added 6-12 shader compiles and 3-6 links; three loops added 126 compiles and 63 links	artifacts/performance/audit-gpu/report.md	high for wrapped GL calls	Foundry to Design also restored a template and is not a pure switch	renderer-foundation;gpu-tier	0 shader compilation during a warm stage switch and switch <=100 ms on common Chromebook
P1	context-recovery-gap	The current renderer receives restore but does not prove in-place visual recovery	webglcontextrestored occurred 516.4 ms after loss; attempted wheel redraw added 0 draws and 0 clears and the captured restored canvas was blank	artifacts/performance/audit-gpu/raw/runtime-headful-attempt-3.json;artifacts/performance/audit-gpu/screenshots/14-webgl-context-restored.png	high for events and redraw counter	Later navigation rendered again but does not prove same-scene in-place restoration	renderer-foundation;gpu-tier;accessibility-qa	WEBGL_lose_context rebuilds GPU resources from the same prepared scene without ProjectState loss
P1	fixed-view-input-gap	Current live Three cameras and Foundry mapping do not implement exact canonical XY authoring	Two perspective camera lifecycles exist; Foundry uses a fixed 360x240 projection; Path SVG uses SVG CTM conversion over a 900x680 meet viewBox	artifacts/performance/audit-interaction/report.md	high for source contract	Runtime browser proof of orthographic parity is not yet available	renderer-foundation;character-path	fixed orthographic default maps pointer and render positions exactly to canonical scene XY across aspect ratios pan and zoom
P1	blueprint-live-artifact-work	Blueprint creates canonical proof content in the stage render path	Blueprint entry executed validateForFabrication and makeBlueprintPreviewSvg once; exact seven-artifact byte hashes are frozen	artifacts/performance/audit-cpu/raw/runtime-evidence.json;tests/unified-three-export-byte-golden.test.ts	high for entry and bytes	The audit did not isolate Blueprint steady-state timing	blueprint-stage	workbench projection is live view; exact proof generation occurs only on explicit request and all golden bytes stay unchanged
P2	paused-dirty-render	Existing paused Three surfaces avoid steady GPU submissions and this behavior must survive the cutover	Every 700 ms warmed-paused GPU window added 0 draws clears shader compiles links textures or contexts	artifacts/performance/audit-gpu/raw/runtime-headful-attempt-3.json	high for sampled windows	Developer host only and short windows	renderer-foundation	paused runtime renders only when dirty
P2	memory-thermal-unknown	No audit proves a stable heap plateau or thermal behavior on supported hardware	GPU high-water JS heap 90337276 bytes and final 33280131 bytes fluctuate; no 20-minute soak or Chromebook was run	artifacts/performance/audit-gpu/report.md	high that approval evidence is absent	Allocation profiles show churn but cannot substitute for device soak	sol;accessibility-qa	stable heap plateau and <10 percent p95 degradation after 20 minutes on actual target devices
P2	build-profile-proof-missing	Default study and E2E compile-out requirements are not yet established	Study request was absent from the limited Orca buffer but no three-profile bundle scan or React diagnostic compile-out proof exists	artifacts/performance/orca-baseline/raw/network.json	low to medium	Orca page source attribution failed and the buffer was bounded	study-artifact;renderer-foundation;sol	default bundle contains no study or E2E runtime; study bundle contains no E2E runtime; final artifact <=128 KB
P2	actual-device-acceptance-missing	No numerical classroom approval gate has actual Intel or ARM 4 GB Chromebook evidence	All A0 runtime samples used Apple M1 Pro headed/headless or embedded Orca Chromium	artifacts/performance/audit-cpu/CPU_AUDIT.md;artifacts/performance/audit-gpu/report.md;artifacts/performance/orca-baseline/README.md	high	CPU throttling would remain preflight only	sol	all common and worst-supported Chromebook gates pass on actual devices
