historical_sha	parents	author_date	subject	group	primary_lane	disposition	evidence	accepted_commit	notes
283e0be97a6219d4dbc5c7f7a413eb1d2a3dbb81	745a0c54270c893f8767a298ab7c50ec4c06dc73	2026-07-18T06:47:24-04:00	Harden student telemetry and autosave	mixed	G1+G3+G4+G6+G8	REWORK_REQUIRED	artifacts/quality/G1/result.md;artifacts/quality/G3/result.md;artifacts/quality/G4/result.md;artifacts/quality/G6/result.md;artifacts/quality/G8/result.md;artifacts/quality/G8/wiring/result.md	cb694d9aa138caeec248c1fb5f58c24fa93cbff9	Mixed historical aggregate was not replayed; its hunks are individually finalized as retained clean behavior, bounded replacement, or intentional deletion
30a9e9f403bb371dffba2c4261fbd1bcb9e788c5	c121c587502947b1a47f3941b5f5382632cbb8cd	2026-07-25T18:34:46-04:00	Finish study telemetry release hardening	mixed	G1+G3+G4+G6+G8	REWORK_REQUIRED	artifacts/quality/G1/result.md;artifacts/quality/G3/result.md;artifacts/quality/G4/result.md;artifacts/quality/G6/result.md;artifacts/quality/G8/result.md;artifacts/quality/G8/wiring/result.md	cb694d9aa138caeec248c1fb5f58c24fa93cbff9	Mixed historical aggregate was not replayed; its hunks are individually finalized as retained clean behavior, bounded replacement, or intentional deletion
5775e7cf71778c05bd5b5d5eebcf99344c85ae3e	30a9e9f403bb371dffba2c4261fbd1bcb9e788c5	2026-07-26T19:10:38-04:00	Keep image AI responsive on low-end laptops (#2)	image_ai	G5	REWORK_REQUIRED	artifacts/quality/G5/result.md	79c8fb66f79d34b78684132d57d4229d5bb7ef94	Responsive FP32 worker intent retained in bounded typed runtime; historical implementation replaced
868b2b523f43189d9104fca0fb7a67029cbe11ad	5775e7cf71778c05bd5b5d5eebcf99344c85ae3e	2026-07-26T19:32:13-04:00	Ship the quality-gated INT8 pose model (#3)	image_ai	G5	REWORK_REQUIRED	artifacts/quality/G5/result.md	79c8fb66f79d34b78684132d57d4229d5bb7ef94	Historical INT8 deployment rejected; candidate retained nondeployed for evaluation
f5fa582c5c1f2a0856db7171b84a118abc31e1da	5e52d5752c7f7b8508c1d60352b7ef9373aeae7e	2026-08-05T07:08:11-04:00	docs(mechanism): define fabrication combination boundary	fabrication_domain	G1	VERIFIED_CLEAN_IMPLEMENTATION	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4	clean implementation plus G1 freeze
7639dc6e642cbf42e480bf4a3eb15840c53d5f8e	f5fa582c5c1f2a0856db7171b84a118abc31e1da	2026-08-05T07:16:09-04:00	docs(mechanism): plan fabrication combination boundary	fabrication_domain	G1	VERIFIED_CLEAN_IMPLEMENTATION	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4	clean implementation plus G1 freeze
365e55f2592897992a79df062d130763f5685ef4	7639dc6e642cbf42e480bf4a3eb15840c53d5f8e	2026-08-05T07:38:53-04:00	feat(mechanism): resolve catalog fabrication combinations	fabrication_domain	G1	VERIFIED_CLEAN_IMPLEMENTATION	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4	clean implementation plus G1 freeze
3ba5bdb7c6fd667e2401d5a7f3e25e75d1a55eaa	365e55f2592897992a79df062d130763f5685ef4	2026-08-05T09:59:01-04:00	fix(mechanism): close fabrication combination boundary	fabrication_domain	G1	VERIFIED_CLEAN_IMPLEMENTATION	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4	clean implementation plus G1 freeze
b98b27f2789bcb6c8bb60f0d8665184b71cece60	3ba5bdb7c6fd667e2401d5a7f3e25e75d1a55eaa	2026-08-05T10:18:30-04:00	fix(mechanism): rank gear linkage candidates	fabrication_domain	G1	VERIFIED_CLEAN_IMPLEMENTATION	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4	clean implementation plus G1 freeze
6eb15b4b419434eb2cd36ce4e31d49eb1753a10e	b98b27f2789bcb6c8bb60f0d8665184b71cece60	2026-08-05T10:38:19-04:00	fix(fabrication): reject off-catalog graph parts	fabrication_domain	G1	VERIFIED_CLEAN_IMPLEMENTATION	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4	clean implementation plus G1 freeze
9df9a65135cd13974404fd482aad1e92efa3c17e	6eb15b4b419434eb2cd36ce4e31d49eb1753a10e	2026-08-05T10:56:56-04:00	fix(fabrication): preserve raw graph dimensions	fabrication_domain	G1	VERIFIED_CLEAN_IMPLEMENTATION	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4	clean implementation plus G1 freeze
bc1f2db6bff08de935873fc0df2d3a2aec7e6927	b6fadabcbfc1269a66b6d050d9c29b3f1820c968	2026-08-06T19:39:53-04:00	test(fabrication): restore catalog-backed envelope parity	fabrication_domain	G1	VERIFIED_CLEAN_IMPLEMENTATION	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4	clean implementation plus G1 freeze
ddd20756059521ff255e35ccd24ee2076abefafb	9df9a65135cd13974404fd482aad1e92efa3c17e	2026-08-05T11:50:43-04:00	fix(mechanism): commit snapped fabrication state atomically	edit_authority	G1	VERIFIED_CLEAN_IMPLEMENTATION	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4	clean implementation plus G1 freeze
b8112a41405cb619108426e7e9e454bdd1e26b5e	ddd20756059521ff255e35ccd24ee2076abefafb	2026-08-05T13:17:42-04:00	fix(mechanism): close Task 3 authority correction	edit_authority	G1	VERIFIED_CLEAN_IMPLEMENTATION	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4	clean implementation plus G1 freeze
d1b95f7c5a7484b60b3ccbb7c3bb7c22191260e6	bc1f2db6bff08de935873fc0df2d3a2aec7e6927	2026-08-06T21:39:28-04:00	fix(foundry): snap interactive mechanism edits to kit parts	edit_authority	G1	VERIFIED_CLEAN_IMPLEMENTATION	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4	clean implementation plus G1 freeze
4c7fc4103a82e42cb59d86b13683f64d9b814a6c	3e679032025197d070f97f4065af527826f8423a	2026-08-07T21:05:16-04:00	fix(mechanism): reject unsafe physical candidates	edit_authority	G1	VERIFIED_CLEAN_IMPLEMENTATION	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4	clean implementation plus G1 freeze
