historical_sha	hunk_id	path	old_range	new_range	context	primary_lane	disposition	rationale	evidence	accepted_commit
5775e7cf71778c05bd5b5d5eebcf99344c85ae3e	5775e7cf71778c05bd5b5d5eebcf99344c85ae3e:ALL_HUNKS	*	*	*		G5	REWORK_REQUIRED	Responsive FP32 worker intent retained; historical implementation replaced by bounded typed runtime	artifacts/quality/G5/result.md	79c8fb66f79d34b78684132d57d4229d5bb7ef94
868b2b523f43189d9104fca0fb7a67029cbe11ad	868b2b523f43189d9104fca0fb7a67029cbe11ad:ALL_HUNKS	*	*	*		G5	REWORK_REQUIRED	Historical INT8 deployment rejected; candidate remains nondeployed evaluation evidence	artifacts/quality/G5/result.md	79c8fb66f79d34b78684132d57d4229d5bb7ef94
f5fa582c5c1f2a0856db7171b84a118abc31e1da	f5fa582c5c1f2a0856db7171b84a118abc31e1da:ALL_HUNKS	*	*	*		G1	VERIFIED_CLEAN_IMPLEMENTATION	single-lane historical commit	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4
7639dc6e642cbf42e480bf4a3eb15840c53d5f8e	7639dc6e642cbf42e480bf4a3eb15840c53d5f8e:ALL_HUNKS	*	*	*		G1	VERIFIED_CLEAN_IMPLEMENTATION	single-lane historical commit	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4
365e55f2592897992a79df062d130763f5685ef4	365e55f2592897992a79df062d130763f5685ef4:ALL_HUNKS	*	*	*		G1	VERIFIED_CLEAN_IMPLEMENTATION	single-lane historical commit	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4
3ba5bdb7c6fd667e2401d5a7f3e25e75d1a55eaa	3ba5bdb7c6fd667e2401d5a7f3e25e75d1a55eaa:ALL_HUNKS	*	*	*		G1	VERIFIED_CLEAN_IMPLEMENTATION	single-lane historical commit	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4
b98b27f2789bcb6c8bb60f0d8665184b71cece60	b98b27f2789bcb6c8bb60f0d8665184b71cece60:ALL_HUNKS	*	*	*		G1	VERIFIED_CLEAN_IMPLEMENTATION	single-lane historical commit	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4
6eb15b4b419434eb2cd36ce4e31d49eb1753a10e	6eb15b4b419434eb2cd36ce4e31d49eb1753a10e:ALL_HUNKS	*	*	*		G1	VERIFIED_CLEAN_IMPLEMENTATION	single-lane historical commit	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4
9df9a65135cd13974404fd482aad1e92efa3c17e	9df9a65135cd13974404fd482aad1e92efa3c17e:ALL_HUNKS	*	*	*		G1	VERIFIED_CLEAN_IMPLEMENTATION	single-lane historical commit	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4
bc1f2db6bff08de935873fc0df2d3a2aec7e6927	bc1f2db6bff08de935873fc0df2d3a2aec7e6927:ALL_HUNKS	*	*	*		G1	VERIFIED_CLEAN_IMPLEMENTATION	single-lane historical commit	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4
ddd20756059521ff255e35ccd24ee2076abefafb	ddd20756059521ff255e35ccd24ee2076abefafb:ALL_HUNKS	*	*	*		G1	VERIFIED_CLEAN_IMPLEMENTATION	single-lane historical commit	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4
b8112a41405cb619108426e7e9e454bdd1e26b5e	b8112a41405cb619108426e7e9e454bdd1e26b5e:ALL_HUNKS	*	*	*		G1	VERIFIED_CLEAN_IMPLEMENTATION	single-lane historical commit	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4
d1b95f7c5a7484b60b3ccbb7c3bb7c22191260e6	d1b95f7c5a7484b60b3ccbb7c3bb7c22191260e6:ALL_HUNKS	*	*	*		G1	VERIFIED_CLEAN_IMPLEMENTATION	single-lane historical commit	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4
4c7fc4103a82e42cb59d86b13683f64d9b814a6c	4c7fc4103a82e42cb59d86b13683f64d9b814a6c:ALL_HUNKS	*	*	*		G1	VERIFIED_CLEAN_IMPLEMENTATION	single-lane historical commit	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4
69431b5533fbcbd799d85fa84adbb46b3c73b8e3	69431b5533fbcbd799d85fa84adbb46b3c73b8e3:ALL_HUNKS	*	*	*		G1	VERIFIED_CLEAN_IMPLEMENTATION	single-lane historical commit	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4
d59133f3c3c53f0462f0c5dfb78df7108e70ee2d	d59133f3c3c53f0462f0c5dfb78df7108e70ee2d:ALL_HUNKS	*	*	*		G1	VERIFIED_CLEAN_IMPLEMENTATION	single-lane historical commit	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4
d1f4bcfb1a8582a2ea511b175b6034a55e508fc0	d1f4bcfb1a8582a2ea511b175b6034a55e508fc0:ALL_HUNKS	*	*	*		G1	VERIFIED_CLEAN_IMPLEMENTATION	single-lane historical commit	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4
2ec813ac76dab114224635a0a75896d8eb792292	2ec813ac76dab114224635a0a75896d8eb792292:ALL_HUNKS	*	*	*		G1	VERIFIED_CLEAN_IMPLEMENTATION	single-lane historical commit	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4
1dccca166bc4594e96dd3e10b7b1c4a2337ad4cb	1dccca166bc4594e96dd3e10b7b1c4a2337ad4cb:ALL_HUNKS	*	*	*		G1	VERIFIED_CLEAN_IMPLEMENTATION	single-lane historical commit	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4
4077c2cd741c00fa3ad3f302a66d6997731b9e92	4077c2cd741c00fa3ad3f302a66d6997731b9e92:ALL_HUNKS	*	*	*		G1	VERIFIED_CLEAN_IMPLEMENTATION	single-lane historical commit	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4
7b466f386b376a1348a299d44b1dcda1db9d1135	7b466f386b376a1348a299d44b1dcda1db9d1135:ALL_HUNKS	*	*	*		G1	VERIFIED_CLEAN_IMPLEMENTATION	single-lane historical commit	artifacts/quality/G1/result.md	a52ef5dc5bf3f6d0dce43b525f19b7fd0e0690a4
edd401c1cef9566b437386c9ba41aa641b789f2c	edd401c1cef9566b437386c9ba41aa641b789f2c:ALL_HUNKS	*	*	*		G2	VERIFIED_CLEAN_IMPLEMENTATION	Intent retained and reconciled through shared board/readiness contracts	artifacts/quality/G2/result.md	2796a77ea49fe7e1b8ed51bbe4747f735feeb147
bf93b3655b2e51c8acb26b1912bf527aed48b90c	bf93b3655b2e51c8acb26b1912bf527aed48b90c:ALL_HUNKS	*	*	*		G2	VERIFIED_CLEAN_IMPLEMENTATION	Intent retained and reconciled through shared board/readiness contracts	artifacts/quality/G2/result.md	2796a77ea49fe7e1b8ed51bbe4747f735feeb147
4506500633970b01f6624cd071e06c0efa70a9d8	4506500633970b01f6624cd071e06c0efa70a9d8:ALL_HUNKS	*	*	*		G2	VERIFIED_CLEAN_IMPLEMENTATION	Intent retained and reconciled through shared board/readiness contracts	artifacts/quality/G2/result.md	2796a77ea49fe7e1b8ed51bbe4747f735feeb147
6a6667435f20b89687c2a696c6fd1af9a29c1e8c	6a6667435f20b89687c2a696c6fd1af9a29c1e8c:ALL_HUNKS	*	*	*		G2	VERIFIED_CLEAN_IMPLEMENTATION	Intent retained and reconciled through shared board/readiness contracts	artifacts/quality/G2/result.md	2796a77ea49fe7e1b8ed51bbe4747f735feeb147
e2f608ba76833e332ee50806f58c18a43d8b6276	e2f608ba76833e332ee50806f58c18a43d8b6276:ALL_HUNKS	*	*	*		G2	VERIFIED_CLEAN_IMPLEMENTATION	Intent retained and reconciled through shared board/readiness contracts	artifacts/quality/G2/result.md	2796a77ea49fe7e1b8ed51bbe4747f735feeb147
ef7a45d9609446e50d281f1d206aaca38f353fce	ef7a45d9609446e50d281f1d206aaca38f353fce:ALL_HUNKS	*	*	*		G2	VERIFIED_CLEAN_IMPLEMENTATION	Intent retained and reconciled through shared board/readiness contracts	artifacts/quality/G2/result.md	2796a77ea49fe7e1b8ed51bbe4747f735feeb147
