lane	path	mode	activation
G1	utils/mechanismFabricationCombinations.ts	read_write	wave-0
G1	utils/mechanismReference.ts	read_write	wave-0
G1	utils/mechanismConnectionSelections.ts	read_write	wave-0
G1	utils/mechanismCompiler.ts	read_write	wave-0
G1	utils/mechanismGraphFabricationCompiler.ts	read_write	wave-0
G1	utils/mechanismEditAuthority.ts	read_write	wave-0
G1	utils/mechanismPhysicalCandidates.ts	read_write	wave-0
G1	utils/kinematics.ts	read_write	wave-0
G1	utils/fourBarPathFit.ts	read_write	wave-0
G1	utils/mechanismRecommendations.ts	read_write	wave-0
G1	utils/project.ts	read_write	wave-0
G1	hooks/useAppMechanismActions.ts	read_write	wave-0
G1	components/stages/mechanism/MechanismParametricEditor.tsx	read_write	wave-0
G1	components/stages/path/MechanismRecommendationSheet.tsx	read_write	wave-0
G2	utils/coordinates.ts	read_write	wave-1
G2	utils/fabricationBoardTemplate.tsx	read_write	wave-1
G2	utils/mechanismCollision.ts	read_write	wave-1
G2	utils/mechanismPhysicalEnvelope.ts	read_write	wave-1
G2	utils/mechanismReadiness.ts	read_write	wave-1
G2	components/stages/foundry/foundryAssemblySceneOverlay.ts	read_write	wave-1
G2	utils/fabricationReadiness.ts	read_write	wave-1
G2	components/stages/blueprint	read_write	wave-1
G2	components/stages/assembly/AssemblyGuide.tsx	read_write	wave-1
G2	fabrication/board-final.svg	read_write	wave-1
G2	scripts/fabrication/source/board-final.svg	read_write	wave-1
G2	fabrication/fabrication-v2-reviewed-oracle.json	read_write	wave-1
G3	components/stages/foundry/ThreeFoundryPreview.tsx	read_write	wave-2
G3	components/stages/foundry/foundryThreeRenderLayers.ts	read_write	wave-2
G3	components/stages/foundry/MechanismFoundry.tsx	read_write	wave-2
G3	components/stages/foundry/FoundryCanvasPane.tsx	read_write	wave-2
G3	components/stages/foundry/FoundryPreviewStateProbe.tsx	read_write	wave-2
G3	components/stages/mechanism/DesignFoundryPreview.tsx	read_write	wave-2
G3	components/stages/mechanism/MechanismDesign.tsx	read_write	wave-2
G3	components/stages/mechanism/MechanismConnectionOverlay.tsx	read_write	wave-2
G3	components/stages/path/PathCanvasPane.tsx	read_write	wave-2
G3	components/stages/path/PathEditor.tsx	read_write	wave-2
G3	components/stages/assembly/AssemblyThreePreview.tsx	read_write	wave-2
G3	components/stages/assembly/useAssemblyGuidePlayback.ts	read_write	wave-2
G3	components/ThreePuppetPreview.tsx	read_write	wave-2
G3	hooks/useWorkspacePlaybackLoop.ts	read_write	wave-2
G3	utils/animationClock.ts	read_write	wave-2
G3	utils/threeResourceKit.ts	read_write	wave-2
G4	hooks/useProjectAutosave.ts	read_write	wave-1
G4	utils/projectPersistence.ts	read_write	wave-1
G5	hooks/useAppOnnxBootstrap.ts	read_write	wave-1
G5	hooks/useAppCharacterImportActions.ts	read_write	wave-1
G5	hooks/useMotionSmithAppController.ts	read_write	wave-1
G5	components/AppWorkspaceShell.tsx	read_write	wave-1
G5	components/shell/OnnxCacheStatusPill.tsx	read_write	wave-1
G5	components/stages/character/CharacterImportOverlays.tsx	read_write	wave-1
G5	components/stages/character/CharacterSelection.tsx	read_write	wave-1
G5	index.html	read_write	wave-1
G5	utils/webOnnx.ts	read_write	wave-1
G5	utils/webOnnxWorker.ts	read_write	wave-1
G5	utils/webOnnxProtocol.ts	read_write	wave-1
G5	utils/webOnnxModelRuntime.ts	read_write	wave-1
G5	utils/webOnnxImagePipeline.ts	read_write	wave-1
G5	utils/webOnnxPreprocess.ts	read_write	wave-1
G5	utils/webOnnxStatusStore.ts	read_write	wave-1
G5	utils/imageDimensions.ts	read_write	wave-1
G5	resources/starterImageTemplates.ts	read_write	wave-1
G5	scripts/quantize-pose-model.py	read_write	wave-1
G5	scripts/pose_model_preprocessing.py	read_write	wave-1
G5	models	read_write	wave-1
G5	public/onnx	read_write	wave-1
G6	.gitignore	read_write	wave-1
G6	.gitattributes	read_write	wave-1
G6	.github/workflows	read_write	wave-1
G6	package.json	read_write	wave-1
G6	playwright.config.ts	read_write	wave-1
G6	vite.config.ts	read_write	wave-1
G6	src-tauri	read_write	wave-1
G6	docs/deployment.md	read_write	wave-1
G6	docs/macos-distribution.md	read_write	wave-1
G7	tests/browser/quality-critical.spec.ts	tests_reports_only	wave-3
G7	tests/browser/quality-helpers.ts	tests_reports_only	wave-3
G7	artifacts/quality/G7	tests_reports_only	wave-3
G8	utils/studySummaryTelemetry.ts	new_files_only	wave-4
G8	hooks/useStudySummaryTelemetry.ts	new_files_only	wave-4
G8	infrastructure/study-summary	new_files_only	wave-4
G8	scripts/study-summary-analyze.ts	new_files_only	wave-4
G8	tests/study-summary-telemetry.test.ts	new_files_only	wave-4
G8	tests/study-summary-analyze.test.ts	new_files_only	wave-4
G8	artifacts/quality/G8	new_files_only	wave-4
