wave	agent	branch	worktree	production_edits	owned_paths	status	commit	evidence	unresolved_risk
leader	sol	perf/unified-three-sol	/Users/alansynn/Workspace/ms-wt/unified-three-sol	yes	components/AppStageRouter.tsx;components/AppWorkspaceShell.tsx;components/stages/stageLayout.tsx;components/workbench/WorkbenchRuntimeProvider.tsx;artifacts/performance/ownership-ledger.tsv	baseline-active		artifacts/performance/baseline/**	actual Chromebook hardware unavailable on developer host
A0	audit-cpu	audit/chromebook-cpu	/Users/alansynn/Workspace/ms-wt/audit-cpu	no	artifacts/performance/audit-cpu/**	running	-	-	-
A0	audit-gpu	audit/chromebook-gpu	/Users/alansynn/Workspace/ms-wt/audit-gpu	no	artifacts/performance/audit-gpu/**	running	-	-	-
A0	audit-interaction	audit/fixed-view-interaction	/Users/alansynn/Workspace/ms-wt/audit-interaction	no	artifacts/performance/audit-interaction/**	running	-	-	-
A0	qa-orca	audit/orca-baseline	/Users/alansynn/Workspace/ms-wt/qa-orca	no	artifacts/performance/orca-baseline/**	queued-slot			must be visible foreground production preview
F1	renderer-foundation	perf/persistent-orthographic-runtime	/Users/alansynn/Workspace/ms-wt/renderer-foundation	yes	runtime/workbench/WorkbenchRenderer.ts;runtime/workbench/WorkbenchRuntime.ts;runtime/workbench/WorkbenchCameras.ts;runtime/workbench/WorkbenchInteraction.ts;runtime/workbench/WorkbenchResourcePool.ts;runtime/workbench/WorkbenchDiagnostics.ts;components/workbench/PersistentWorkbenchCanvas.tsx;tests/workbench-renderer.test.ts	blocked-A0			interfaces not frozen
F1	motion-foundation	perf/prepared-pose-cycles	/Users/alansynn/Workspace/ms-wt/motion-foundation	yes	utils/motion.ts;utils/automataSceneModel.ts;utils/foundryPlayback.ts;utils/sceneProjection.ts;runtime/workbench/PreparedWorkbenchScene.ts;runtime/workbench/PoseTable.ts;runtime/workbench/PoseTableWorker.ts;tests/workbench-pose-table.test.ts	blocked-A0			interfaces not frozen
F1	inspector-foundation	perf/static-inspector-model	/Users/alansynn/Workspace/ms-wt/inspector-foundation	yes	components/stages/foundry/FoundryInspectorPanel.tsx;components/stages/mechanism/DesignInspectorPanel.tsx;components/stages/mechanism/MechanismParametricEditor.tsx;utils/mechanismInspectorModel.ts;tests/mechanism-inspector-model.test.ts	blocked-A0			interfaces not frozen
F1	classroom-io	perf/classroom-io	/Users/alansynn/Workspace/ms-wt/classroom-io	yes	hooks/useAppOnnxBootstrap.ts;utils/webOnnx.ts;utils/webOnnxWorker.ts;utils/webOnnxModelRuntime.ts;hooks/useProjectAutosave.ts;utils/projectAutosaveTransactions.ts;runtime/persistence/**;tests/classroom-io-performance.test.ts	blocked-A0			baseline counters pending
M3	character-path	feat/character-path-fixed-view	/Users/alansynn/Workspace/ms-wt/character-path	yes	components/stages/character/CharacterSelection.tsx;components/stages/path/PathEditor.tsx;components/stages/path/PathCanvasPane.tsx;components/stages/path/SceneSketch.tsx;components/stages/path/PartShape.tsx;tests/browser/path-fixed-view.spec.ts	blocked-S2			shared shell absent
M3	foundry-stage	feat/foundry-fixed-view	/Users/alansynn/Workspace/ms-wt/foundry-fixed-view	yes	components/stages/foundry/MechanismFoundry.tsx;components/stages/foundry/FoundryCanvasPane.tsx;components/stages/foundry/FoundryOverlayLayer.tsx;components/stages/foundry/FoundryCanvasChrome.tsx;components/stages/mechanism/MechanismConnectionOverlay.tsx;tests/browser/foundry-fixed-view.spec.ts	blocked-S2			shared shell absent
M3	design-stage	feat/design-fixed-view	/Users/alansynn/Workspace/ms-wt/design-fixed-view	yes	components/stages/mechanism/MechanismDesign.tsx;components/stages/mechanism/DesignFoundryPreview.tsx;components/stages/mechanism/DesignWorkflowPanel.tsx;tests/browser/design-fixed-view.spec.ts	blocked-S2			shared shell absent
M3	assembly-stage	feat/assembly-fixed-view	/Users/alansynn/Workspace/ms-wt/assembly-fixed-view	yes	components/stages/assembly/AssemblyThreePreview.tsx;components/stages/assembly/AssemblyCanvasPane.tsx;components/stages/assembly/AssemblyGuide.tsx;components/stages/assembly/useAssemblyGuidePlayback.ts;tests/browser/assembly-fixed-view.spec.ts	blocked-S2			shared shell absent
M3	blueprint-stage	perf/blueprint-fixed-view	/Users/alansynn/Workspace/ms-wt/blueprint-fixed-view	yes	components/stages/blueprint/BlueprintExport.tsx;components/stages/blueprint/BlueprintControlPanel.tsx;components/stages/blueprint/BlueprintDetailPanel.tsx;runtime/blueprint/**;tests/browser/blueprint-fixed-view.spec.ts	blocked-S2			exact-byte gate now frozen on leader
O4	gpu-tier	perf/chromebook-gpu-tier	/Users/alansynn/Workspace/ms-wt/chromebook-gpu-tier	yes	components/ThreePuppetPreview.tsx;components/stages/foundry/ThreeFoundryPreview.tsx;components/stages/foundry/FoundryPreviewStateProbe.tsx;components/stages/foundry/foundryThreePrimitives.ts;components/stages/foundry/foundryThreeRenderLayers.ts;utils/threeResourceKit.ts;utils/viewport.ts;runtime/workbench/render/**;tests/workbench-gpu-tier.test.ts	blocked-M3			stage migration incomplete
O4	accessibility-qa	test/fixed-view-a11y-qa	/Users/alansynn/Workspace/ms-wt/fixed-view-a11y-qa	yes	components/workbench/WorkbenchSemanticControls.tsx;tests/browser/workbench-fixed-view.spec.ts;tests/browser/workbench-context-loss.spec.ts;artifacts/performance/fixed-view-final/**	blocked-M3			stage migration incomplete
O4	study-artifact	study/final-artifact	/Users/alansynn/Workspace/ms-wt/final-study-artifact	yes	infrastructure/study-summary/**;hooks/useStudySummaryTelemetry.ts;components/shell/StudySummaryLifecycle.tsx;utils/studySummaryTelemetry.ts;scripts/study-summary-analyze.ts;tests/study-summary-*.test.ts	blocked-M3			prepared pose cycle absent
O4	offscreen-spike	experiment/offscreen-workbench	/Users/alansynn/Workspace/ms-wt/offscreen-spike	no	experiments/offscreen-workbench/**;artifacts/performance/offscreen-spike/**	optional-blocked-main-runtime			not mergeable without 20 percent actual-device win
